ID,ACCESSION,NAME,TAXONOMY,ORIGIN,AMYLOSE,KERNEL LENGTH/WIDTH RATIO,LENGTH OF KERNEL,SALT TOLERANCE,WIDTH OF KERNEL,LEAF BLADE COLOR,PLANT HEIGHT 1
1022215,CIor 2851,WC 3068,Oryza sativa L.,"Western Visayas (Region VI), Philippines",22,2.6,6.5,0,2.5,0,0
1022523,CIor 2913,Initlog Dalag,Oryza sativa L.,"Calabarzon (Region IV-A), Philippines",23,3.3,6.5,0,2,0,0
1022594,CIor 2930,Pileng Baybay,Oryza sativa L.,"Calabarzon (Region IV-A), Philippines",20,3.2,7.5,0.08,2.3,0,0
1022609,CIor 2934,WC 3073,Oryza sativa L.,Philippines,18,1.8,5.5,0,3,0,0
1022622,CIor 2937,Gayangang,Oryza sativa L.,"Bicol (Region V), Philippines",17,1.9,6.5,0.25,3.5,0,0
1022623,CIor 2938,Gpno 1238,Oryza sativa L.,"Western Visayas (Region VI), Philippines",17,2.3,7.5,0,3.2,0,0
1022638,CIor 2942,Binierhin,Oryza sativa L.,"Calabarzon (Region IV-A), Philippines",14,3.8,7.5,0,2,0,0
1022681,CIor 2952,Gpno 1255,Oryza sativa L.,"Western Visayas (Region VI), Philippines",20,2.7,6.1,0.36,2.2,0,0
1022722,CIor 2962,Gpno 1257,Oryza sativa L.,Philippines,20,3.5,7,0,2,0,0
1022761,CIor 2971,Kinandelaria,Oryza sativa L.,"Calabarzon (Region IV-A), Philippines",22,2.8,7,0,2.5,0,0
1022795,CIor 2981,Laojig,Oryza sativa L.,"Western Visayas (Region VI), Philippines",24,4.2,8,0,1.9,0,0
1022823,CIor 2990,Gpno 20705,Oryza sativa L.,"Western Visayas (Region VI), Philippines",21,2.3,7,0,3,0,0
1022843,CIor 2997,WC 3088,Oryza sativa L.,"Western Visayas (Region VI), Philippines",21,2,6,0,3,0,0
1022983,CIor 3037,WC 3089,Oryza sativa L.,Philippines,21,3.8,7.5,0,2,0,0
1023086,CIor 3061,WC 3090,Oryza sativa L.,"Western Visayas (Region VI), Philippines",22,3.8,7.5,2.13,2,0,0
1023204,CIor 3090,Binocane,Oryza sativa L.,"Calabarzon (Region IV-A), Philippines",21,2.4,6,0,2.5,0,0
1023504,CIor 3171,Quinanda Pula,Oryza sativa L.,"Calabarzon (Region IV-A), Philippines",17,2.1,5.7,0,2.7,0,0
1023549,CIor 3182,Buabo,Oryza sativa L.,"Ilocos (Region I), Philippines",22,3,7.5,0,2.5,0,0
1023568,CIor 3187,WC 3095,Oryza sativa L.,Philippines,21,2.2,5.5,0.08,2.5,0,0
1023678,CIor 3212,WC 3096,Oryza sativa L.,Philippines,21,3.8,7.5,0.28,2,0,0
1023779,CIor 3233,Denorado,Oryza sativa L.,"Calabarzon (Region IV-A), Philippines",23,2.6,6.5,0.39,2.5,0,0
1024317,CIor 3336,Alabang 395,Oryza sativa L.,"Calabarzon (Region IV-A), Philippines",24,3.3,6.5,0,2,0,0
1024322,CIor 3337,Sinaguing,Oryza sativa L.,"Calabarzon (Region IV-A), Philippines",22,3,7.5,0,2.5,0,0
1024439,CIor 3364,Gpno 1299,Oryza sativa L.,"Western Visayas (Region VI), Philippines",20,1.8,5.5,0,3,0,0
1024515,CIor 3381,Duang Ojoy,Oryza sativa L.,"Bicol (Region V), Philippines",5,2.3,6.1,0,2.7,0,0
1024658,CIor 3410,Sinaguing,Oryza sativa L.,"Calabarzon (Region IV-A), Philippines",18,3,6.8,0.61,2.2,0,0
1024817,CIor 3450,Kinasayom,Oryza sativa L.,"Calabarzon (Region IV-A), Philippines",22,2.8,7,0,2.5,0,0
1024953,CIor 3491,Maglanti,Oryza sativa L.,"Bicol (Region V), Philippines",21,3.2,8,0.25,2.5,0,0
1025125,CIor 3544,Casancang,Oryza sativa L.,"Bicol (Region V), Philippines",21,2.8,7,0,2.5,0,0
1025188,CIor 3564,Piniling Baybay,Oryza sativa L.,"Calabarzon (Region IV-A), Philippines",22,2,6,0,3,0,0
1025348,CIor 3625,'Shoemed',Oryza sativa L.,"Louisiana, United States",26,2.2,6.5,0.36,3,0,0
1025662,CIor 3744,Gpno 1350,Oryza sativa L.,"Western Visayas (Region VI), Philippines",22,2.8,7,0,2.5,0,0
1025821,CIor 3794,Quinanda Itim,Oryza sativa L.,"Calabarzon (Region IV-A), Philippines",22,1.7,5,0.9,3,0,0
1025840,CIor 3798,Quinastano,Oryza sativa L.,"Calabarzon (Region IV-A), Philippines",23,2.8,7,0.82,2.5,0,0
1025960,CIor 3828,Pinili,Oryza sativa L.,"Calabarzon (Region IV-A), Philippines",23,3,7.5,0,2.5,0,0
1025961,CIor 3829,Gpno 1383,Oryza sativa L.,"Western Visayas (Region VI), Philippines",23,4,8,0,2,0,0
1026126,CIor 3880,Gpno 1388,Oryza sativa L.,"Western Visayas (Region VI), Philippines",1,1.9,5.6,0,2.9,0,0
1026133,CIor 3882,Alabang 528,Oryza sativa L.,"Calabarzon (Region IV-A), Philippines",23,2.2,6.5,0,3,0,0
1026259,CIor 3937,Aguyor,Oryza sativa L.,"Calabarzon (Region IV-A), Philippines",25,3.8,7.5,0,2,0,0
1026297,CIor 3947,Gpno 1411,Oryza sativa L.,"Western Visayas (Region VI), Philippines",21,3.5,7,0,2,0,0
1026485,CIor 3996,Santa Maria,Oryza sativa L.,"Calabarzon (Region IV-A), Philippines",21,3.3,6.7,0,2,0,0
1026548,CIor 4011,Galo,Oryza sativa L.,"Calabarzon (Region IV-A), Philippines",0,2.8,7,0,2.5,0,0
1026617,CIor 4027,Malagkit Tinougko,Oryza sativa L.,"Calabarzon (Region IV-A), Philippines",26,3.3,6.5,0.4,2,0,0
1026767,CIor 4060,Paraga,Oryza sativa L.,"Western Visayas (Region VI), Philippines",21,2,6,0,3,0,0
1026785,CIor 4063,WC 4318,Oryza sativa L.,Philippines,25,2.4,6,0,2.5,0,0
1026823,CIor 4070,Pileng Baybay,Oryza sativa L.,"Calabarzon (Region IV-A), Philippines",22,2.6,6,2.23,2.3,0,0
1027044,CIor 4127,Buntot Cabayo,Oryza sativa L.,"Calabarzon (Region IV-A), Philippines",23,3.5,7,0,2,0,0
1027103,CIor 4147,Sinampaga,Oryza sativa L.,"Central Luzon (Region III), Philippines",16,3.3,7.4,0.8,2.2,0,0
1027181,CIor 4171,Casondit,Oryza sativa L.,"Bicol (Region V), Philippines",24,3.2,8,0,2.5,0,0
1027236,CIor 4191,Quinanda Pollopot,Oryza sativa L.,"Calabarzon (Region IV-A), Philippines",24,4,8,0,2,0,0
1027283,CIor 4211,Sinan Juan,Oryza sativa L.,"Calabarzon (Region IV-A), Philippines",26,4,7.5,0,1.9,0,0
1027309,CIor 4218,Gpno 1472,Oryza sativa L.,Philippines,24,2.3,7,0.47,3,0,0
1027310,CIor 4219,Buluhan Silang,Oryza sativa L.,"Calabarzon (Region IV-A), Philippines",17,2.8,6.6,0,2.3,DARK GREEN,0
1027533,CIor 4285,Domali,Oryza sativa L.,"Calabarzon (Region IV-A), Philippines",0,3.3,7.6,0,2.3,0,0
1027551,CIor 4289,Dumali,Oryza sativa L.,"Calabarzon (Region IV-A), Philippines",22,1.9,6,0.15,3.1,0,0
1027565,CIor 4294,Gayangang,Oryza sativa L.,"Bicol (Region V), Philippines",22,2.8,7,1.8,2.5,0,0
1027569,CIor 4295,Nagayon,Oryza sativa L.,"Calabarzon (Region IV-A), Philippines",25,3.8,7.5,0.22,2,0,0
1027680,CIor 4322,Inasana,Oryza sativa L.,"Calabarzon (Region IV-A), Philippines",28,2,6,0,3,0,0
1027864,CIor 4373,Quinanda Inuac,Oryza sativa L.,"Calabarzon (Region IV-A), Philippines",22,1.9,6,0,3.1,0,0
1027871,CIor 4375,Moropotol,Oryza sativa L.,"Bicol (Region V), Philippines",21,1.9,6,0,3.1,0,0
1027977,CIor 4403,CI 4403,Oryza sativa L.,"Western Visayas (Region VI), Philippines",21,2.3,5.7,0.03,2.5,0,0
1027987,CIor 4406,CI 4406,Oryza sativa L.,"Western Visayas (Region VI), Philippines",24,2.9,6,0.35,2.1,0,0
1027990,CIor 4407,CI 4407,Oryza sativa L.,"Western Visayas (Region VI), Philippines",24,2.7,6.1,0,2.3,0,0
1027996,CIor 4408,CI 4408,Oryza sativa L.,"Western Visayas (Region VI), Philippines",24,3,6.1,0,2.1,0,0
1028003,CIor 4410,Sinaquing,Oryza sativa L.,"Calabarzon (Region IV-A), Philippines",25,2.5,5.9,0,2.3,0,0
1028007,CIor 4411,CI 4411,Oryza sativa L.,"Calabarzon (Region IV-A), Philippines",24,2.9,6.3,0,2.2,0,0
1028049,CIor 4425,Dinalipay,Oryza sativa L.,"Bicol (Region V), Philippines",21,3.2,8,0.11,2.5,0,0
1028058,CIor 4427,Alabang 388,Oryza sativa L.,"Calabarzon (Region IV-A), Philippines",22,3.2,7.5,0.62,2.3,0,0
